metric,sample_id,L,channel,v1,v2,v2_minus_v1
corr,5390-30102-0015,1,substitution-mid,-0.003880947828292902,0.0025999844074249823,0.0064809322357178845
corr,5390-30102-0015,2,dropout-mid,-0.0068132877349853516,0.0030799508094787598,0.009893238544464111
corr,5390-30102-0015,2,substitution-mid,-0.0009388923645019531,0.003491520881652832,0.004430413246154785
corr,5390-30102-0015,3,dropout-mid,0.0047852396965026855,0.009288370609283447,0.004503130912780762
corr,5390-30102-0015,3,substitution-mid,-0.000414431095123291,-0.0012348294258117676,-0.0008203983306884766
corr,8098-278278-0035,1,dropout-mid,-0.005320817232131986,-0.005289375782012912,3.1441450119074066e-05
corr,8098-278278-0035,1,substitution-mid,0.0007764995098114014,-0.0006388425827026367,-0.001415342092514038
corr,8098-278278-0035,2,dropout-mid,0.011776208877563477,0.003382861614227295,-0.008393347263336182
corr,8098-278278-0035,2,substitution-mid,0.0003898143768310547,0.0032581090927124023,0.0028682947158813477
corr,8098-278278-0035,3,dropout-mid,-0.0054953694343566895,-0.001351773738861084,0.0041435956954956055
corr,8098-278278-0035,3,substitution-mid,0.0018791556358337402,0.0009377002716064453,-0.0009414553642272949
corr,8838-298545-0037,1,dropout-mid,0.004964739084243719,0.013513594865799006,0.008548855781555287
corr,8838-298545-0037,1,substitution-mid,-0.000904917716979925,0.0006351172924041748,0.0015400350093840998
corr,8838-298545-0037,2,dropout-mid,0.005630373954772949,0.009660482406616211,0.004030108451843262
corr,8838-298545-0037,2,substitution-mid,-0.0017066597938537598,-0.002579927444458008,-0.000873267650604248
corr,8838-298545-0037,3,dropout-mid,0.0033916831016540527,0.005743682384490967,0.002351999282836914
corr,8838-298545-0037,3,substitution-mid,0.0009306669235229492,0.002288639545440674,0.0013579726219177246
mel_l1,1455-138263-0040,1,dropout-mid,0.007352471351623535,0.006758689880370872,-0.0005937814712526635
mel_l1,1455-138263-0040,1,substitution-mid,-0.0012218952178955078,0.001808762550354226,0.0030306577682497338
mel_l1,1455-138263-0040,2,dropout-mid,0.008398354053497203,0.010098636150359996,0.001700282096862793
mel_l1,1455-138263-0040,2,substitution-mid,-0.0014744400978088379,0.004375219345092662,0.0058496594429015
mel_l1,1455-138263-0040,3,dropout-mid,0.002590775489807129,0.012032568454742432,0.009441792964935303
mel_l1,1455-138263-0040,3,substitution-mid,-0.005382657051086426,1.5437602996826172e-05,0.005398094654083252
mel_l1,1737-148989-0006,1,dropout-mid,7.772445678710938e-05,0.009019613265991211,0.008941888809204102
mel_l1,1737-148989-0006,1,substitution-mid,0.004905104637145996,0.0002410411834716797,-0.004664063453674316
mel_l1,1737-148989-0006,2,dropout-mid,0.009883403778076172,0.0076045989990234375,-0.0022788047790527344
mel_l1,1737-148989-0006,2,substitution-mid,-0.0008264780044556774,0.0023000240325929955,0.003126502037048673
mel_l1,1737-148989-0006,3,dropout-mid,0.005981624126434437,0.013177156448364147,0.00719553232192971
mel_l1,1737-148989-0006,3,substitution-mid,0.001573324203491211,0.003921389579772949,0.0023480653762817383
mel_l1,311-124404-0119,1,dropout-mid,-0.0007969141006467506,0.0028049945831294387,0.0036019086837761893
mel_l1,311-124404-0119,1,substitution-mid,-0.004343867301940918,-0.0010012388229370117,0.0033426284790039062
